Year,Area,Value
2019,Settlement area,5877
2018,Settlement area,5887
2017,Settlement area,5862
2016,Settlement area,5854
2019,Residential area,2650
2018,Residential area,2621
2017,Residential area,2600
2016,Residential area,2562
2019,Industrial and commercial area,844
2018,Industrial and commercial area,842
2017,Industrial and commercial area,838
2016,Industrial and commercial area,812
2019,"Sports, leisure and recreation area",1511
2018,"Sports, leisure and recreation area",1515
2017,"Sports, leisure and recreation area",1516
2016,"Sports, leisure and recreation area",1528
